Category,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
Passenger Vehicles,"34,24,564","30,62,280","36,50,698","45,87,116"," 49,01,840","50,61,164"
Commercial Vehicles,"7,56,725","6,24,939","8,05,527","10,35,626","10.67,504","10,32,645"
Three Wheelers,"11,32,982","6,14,613","7,58,669","8,55,696","9,96,159","10,50,020"
Two Wheelers,"2,10,32,927","1,83,49,941","1,78,21,111","1,94,59,009","2,14,68,527","2,38,83,857"
Quadricycles,"6,095","3,836","4,061","2,897","5,006","6,488"
Grand Total,"2,63,53,293","2,26,55,609","2,30,40,066","2,59,40,344","2,84,39,036","3,10,34,174"
