Category,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
Passenger Vehicles,"27,73,519","27,11,457","30,69,523","38,90,114","42 18,750","43,01,848"
Commercial Vehicles,"7,17,593","5,68,559","7,16,566","9,62,468","9,68,770","9,56,671"
Three Wheelers,"6,37,065","2,19,446","2,61,385","4,88,768","6,94,801","7,41,420"
Two Wheelers,"1,74,16,432","1,51,20,783","1,35,70,008","1,58,62,771","1,79,74,365","1,96,07,332"
Quadricycles,942,-12,124,725,725,120
Grand Total,"2,15,45,551","1,86,20,233","1,76,17,606","2,12,04,846","2,38,57,411","2,56,07,391"
